Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ETS2	1	1	479	0.2%	No
LOXL2	1	1	479	0.2%	No
AMMECR1L	1	1	479	0.2%	No
TMEM268	1	1	479	0.2%	No
TBC1D30	1	1	479	0.2%	No
DENND5A	1	1	479	0.2%	No
ENPP6	2	2	479	0.4%	No
TGM4	1	1	479	0.2%	No
BORCS5	2	2	479	0.4%	No
MORC3	2	2	479	0.4%	No
SPINK8	1	1	479	0.2%	No
SPINK6	1	1	479	0.2%	No
CASK	1	1	479	0.2%	No
UBE4A	1	1	479	0.2%	No
CDKAL1	1	1	479	0.2%	No
KMO	1	1	479	0.2%	No
CCNB1IP1	1	1	479	0.2%	Yes
SHQ1	1	1	479	0.2%	Yes
PSPC1	1	1	479	0.2%	No
PRR15L	3	2	479	0.4%	No
TBC1D25	1	1	479	0.2%	No
CARD18	1	1	479	0.2%	No
WDFY3	2	2	479	0.4%	No
TBC1D23	1	1	479	0.2%	No
BBOF1	1	1	479	0.2%	No
DENND6A	1	1	479	0.2%	No
CARS1	1	1	479	0.2%	Yes
RAF1	5	3	479	0.6%	Yes
WDFY4	1	1	479	0.2%	No
NNMT	2	2	479	0.4%	No
DDX4	1	1	479	0.2%	Yes
DIABLO	2	2	479	0.4%	No
SLC41A2	1	1	479	0.2%	No
COX17	1	1	479	0.2%	No
SLC41A3	1	1	479	0.2%	No
CACNA1D	1	1	479	0.2%	Yes
CACNA1C	1	1	479	0.2%	No
PLD1	1	1	479	0.2%	No
TMEM241	1	1	479	0.2%	No
RAI1	1	1	479	0.2%	No
GRK3	1	1	479	0.2%	No
SNTG2	1	1	479	0.2%	No
ODF2L	1	1	479	0.2%	No
ADGRG2	1	1	479	0.2%	No
SNTG1	1	1	479	0.2%	No
COX14	1	1	479	0.2%	No
CACNA1S	1	1	479	0.2%	No
RHPN2	1	1	479	0.2%	No
MAGEA11	1	1	479	0.2%	No
MORC1	1	1	479	0.2%	No
COX10	1	1	479	0.2%	No
RAI2	1	1	479	0.2%	No
CNTLN	1	1	479	0.2%	No
TFAP2A	1	1	479	0.2%	No
EEFSEC	1	1	479	0.2%	No
CAV2	1	1	479	0.2%	No
CNTN6	1	1	479	0.2%	No
DENND4C	1	1	479	0.2%	No
CNOT10	1	1	479	0.2%	No
HOOK3	1	1	479	0.2%	Yes
SDK1	2	2	479	0.4%	No
FGF14	2	2	479	0.4%	Yes
GNAQ	2	2	479	0.4%	Yes
UBE2N	1	1	479	0.2%	No
TCF3	3	2	479	0.4%	Yes
CNTN4	1	1	479	0.2%	No
FGF13	2	2	479	0.4%	No
FBN1	1	1	479	0.2%	No
RERE	5	5	479	1.0%	No
TNFAIP8	1	1	479	0.2%	No
TTC23	1	1	479	0.2%	No
LDB2	1	1	479	0.2%	No
TENT4A	1	1	479	0.2%	No
TCHP	1	1	479	0.2%	No
CA1	1	1	479	0.2%	No
LASP1	1	1	479	0.2%	Yes
CYP26B1	1	1	479	0.2%	No
GRM7	2	2	479	0.4%	No
RASGEF1B	1	1	479	0.2%	No
RB1CC1	3	3	479	0.6%	No
CA4	1	1	479	0.2%	No
MYO18B	1	1	479	0.2%	No
MYO18A	2	2	479	0.4%	Yes
DACT3	1	1	479	0.2%	No
GET1	2	2	479	0.4%	No
IFT57	1	1	479	0.2%	No
GRM7-AS2	1	1	479	0.2%	No
GET4	1	1	479	0.2%	No
SUN1	1	1	479	0.2%	No
TTC32	1	1	479	0.2%	No
SHROOM3	1	1	479	0.2%	No
ETV1	10	10	479	2.1%	Yes
IRAK4	1	1	479	0.2%	No
ETV3	2	2	479	0.4%	No
ETV4	12	12	479	2.5%	Yes
SPIDR	1	1	479	0.2%	No
ETV5	2	2	479	0.4%	Yes
EPN1	1	1	479	0.2%	No
ETV6	1	1	479	0.2%	Yes
TTI1	1	1	479	0.2%	No
ELF2	1	1	479	0.2%	No
IFT43	1	1	479	0.2%	No
TMEM216	1	1	479	0.2%	No
GFOD2	2	2	479	0.4%	No
TMEM219	1	1	479	0.2%	No
ZMYND11	2	2	479	0.4%	No
CUEDC1	1	1	479	0.2%	No
CLRN2	1	1	479	0.2%	No
AGPAT5	2	1	479	0.2%	No
DNAH2	1	1	479	0.2%	No
DNAH8	1	1	479	0.2%	No
DNAH6	1	1	479	0.2%	No
RAP1GDS1	3	3	479	0.6%	Yes
ASB14	1	1	479	0.2%	No
SLC3A2	1	1	479	0.2%	No
CBL	1	1	479	0.2%	Yes
RNF4	1	1	479	0.2%	No
POMZP3	1	1	479	0.2%	No
AGPAT3	1	1	479	0.2%	No
GNG4	1	1	479	0.2%	No
TMEM205	1	1	479	0.2%	No
MVB12B	1	1	479	0.2%	No
CLVS2	1	1	479	0.2%	No
DROSHA	1	1	479	0.2%	Yes
IGKV1-32	1	1	479	0.2%	No
CASC16	1	1	479	0.2%	No
MTA3	1	1	479	0.2%	No
CLVS1	1	1	479	0.2%	No
NIPSNAP3B	1	1	479	0.2%	No
ATF7IP	4	3	479	0.6%	No
RRM1	2	2	479	0.4%	No
CASC21	1	1	479	0.2%	No
EYA2	2	2	479	0.4%	No
OR51E2	1	1	479	0.2%	No
USF1	1	1	479	0.2%	No
SMUG1	1	1	479	0.2%	No
CARM1	2	2	479	0.4%	Yes
GPD1L	2	2	479	0.4%	No
SNTB2	1	1	479	0.2%	No
VPS29	1	1	479	0.2%	No
PHB1	1	1	479	0.2%	No
WIPF1	1	1	479	0.2%	No
WIPF2	1	1	479	0.2%	No
HNRNPU	1	1	479	0.2%	No
SLCO6A1	1	1	479	0.2%	No
SLC4A4	7	6	479	1.3%	No
GPATCH8	8	7	479	1.5%	No
WDR88	1	1	479	0.2%	No
ELK4	4	4	479	0.8%	Yes
ALCAM	1	1	479	0.2%	No
GJA3	1	1	479	0.2%	No
ZMIZ1	2	2	479	0.4%	No
EVA1C	1	1	479	0.2%	No
CSPP1	1	1	479	0.2%	No
DLEU1	1	1	479	0.2%	No
CDK5RAP1	1	1	479	0.2%	No
AP1S1	1	1	479	0.2%	No
MIR22HG	1	1	479	0.2%	No
NCKAP5	1	1	479	0.2%	No
DLEU7	1	1	479	0.2%	No
GAMT	1	1	479	0.2%	No
ADGB	1	1	479	0.2%	No
MBNL1	1	1	479	0.2%	No
PRKCI	1	1	479	0.2%	Yes
PRKCH	1	1	479	0.2%	No
PRKCE	1	1	479	0.2%	No
ATG10	1	1	479	0.2%	No
DDX10	2	2	479	0.4%	Yes
DNAAF5	1	1	479	0.2%	No
CEL	1	1	479	0.2%	No
FNDC3A	1	1	479	0.2%	No
ARMC8	3	3	479	0.6%	No
DNAAF4	1	1	479	0.2%	No
GABRG3	2	2	479	0.4%	No
GTPBP1	1	1	479	0.2%	No
GANC	1	1	479	0.2%	No
DEPDC1B	1	1	479	0.2%	No
ZC2HC1A	1	1	479	0.2%	No
PRKD3	1	1	479	0.2%	No
MAP1B	1	1	479	0.2%	No
ZSCAN22	1	1	479	0.2%	No
HECW1	1	1	479	0.2%	No
PRKD2	2	1	479	0.2%	No
TARS2	2	2	479	0.4%	No
NUP98	1	1	479	0.2%	Yes
ASTN2	3	3	479	0.6%	No
PI4K2A	1	1	479	0.2%	No
NAA60	2	2	479	0.4%	No
NUP205	2	1	479	0.2%	No
ZNF395	1	1	479	0.2%	No
GLYATL1P2	1	1	479	0.2%	No
CTBP2	1	1	479	0.2%	No
TPTE2P5	1	1	479	0.2%	No
PRKDC	1	1	479	0.2%	Yes
PHYHIPL	3	2	479	0.4%	No
PRDM10	1	1	479	0.2%	No
ANAPC10	1	1	479	0.2%	No
NUGGC	1	1	479	0.2%	No
ANAPC11	1	1	479	0.2%	No
BLOC1S5	1	1	479	0.2%	No
LDHA	1	1	479	0.2%	No
BLOC1S6	1	1	479	0.2%	No
GJC3	1	1	479	0.2%	No
NUP85	1	1	479	0.2%	No
CEP70	2	2	479	0.4%	No
CGA	1	1	479	0.2%	No
HMOX2	1	1	479	0.2%	No
KAT14	2	2	479	0.4%	No
ST3GAL3	1	1	479	0.2%	No
LHPP	1	1	479	0.2%	No
PHC2	1	1	479	0.2%	No
PRELID1	1	1	479	0.2%	No
HOMER2	2	2	479	0.4%	No
NFATC3	1	1	479	0.2%	No
MEX3D	2	2	479	0.4%	No
ELL2	1	1	479	0.2%	No
MCAT	1	1	479	0.2%	No
PHC3	1	1	479	0.2%	No
FOSL1	1	1	479	0.2%	No
EHD1	1	1	479	0.2%	No
HNRNPK	1	1	479	0.2%	No
EHD4	1	1	479	0.2%	No
ADI1	1	1	479	0.2%	No
PAH	1	1	479	0.2%	No
GJB6	1	1	479	0.2%	No
HNRNPD	1	1	479	0.2%	No
ATG2A	1	1	479	0.2%	No
GTF2IRD1	1	1	479	0.2%	No
HNRNPC	1	1	479	0.2%	No
GABRB3	1	1	479	0.2%	No
PHF3	2	2	479	0.4%	No
MESP2	1	1	479	0.2%	No
SETD5	2	2	479	0.4%	Yes
SMG1	1	1	479	0.2%	Yes
SETD2	1	1	479	0.2%	Yes
PHF20	1	1	479	0.2%	No
DENND1A	1	1	479	0.2%	No
ARPC1A	2	2	479	0.4%	No
SETD7	1	1	479	0.2%	Yes
ASH2L	1	1	479	0.2%	No
ABCC12	1	1	479	0.2%	No
FARS2	1	1	479	0.2%	No
SMG6	1	1	479	0.2%	No
UBL3	1	1	479	0.2%	No
GNLY	1	1	479	0.2%	No
ELOA	1	1	479	0.2%	No
CIC	1	1	479	0.2%	Yes
TEAD1	1	1	479	0.2%	No
RRP15	1	1	479	0.2%	No
DENND2A	1	1	479	0.2%	No
ASH1L	2	2	479	0.4%	No
COQ10B	1	1	479	0.2%	No
CDYL2	2	2	479	0.4%	No
NCOR2	1	1	479	0.2%	Yes
TAF6L	1	1	479	0.2%	No
FAM210A	1	1	479	0.2%	No
NSA2	1	1	479	0.2%	No
COL2A1	1	1	479	0.2%	Yes
NCOR1	2	2	479	0.4%	Yes
TMSB15A	1	1	479	0.2%	No
RARB	1	1	479	0.2%	No
EXOC5	1	1	479	0.2%	No
EXOC1	1	1	479	0.2%	No
WDR27	1	1	479	0.2%	No
NFIX	1	1	479	0.2%	No
SGMS1	1	1	479	0.2%	No
PRUNE1	1	1	479	0.2%	No
WDR20	1	1	479	0.2%	No
APOLD1	1	1	479	0.2%	No
SCAF8	2	2	479	0.4%	No
GPAT4	1	1	479	0.2%	No
TP53TG1	1	1	479	0.2%	No
ABI3BP	1	1	479	0.2%	No
GSC	1	1	479	0.2%	No
NSD2	1	1	479	0.2%	Yes
USP1	1	1	479	0.2%	No
CKB	1	1	479	0.2%	No
ZNF345	1	1	479	0.2%	No
FARP2	1	1	479	0.2%	No
FARP1	1	1	479	0.2%	No
PBDC1	1	1	479	0.2%	No
GSR	2	2	479	0.4%	No
WDR19	1	1	479	0.2%	No
SQOR	1	1	479	0.2%	No
ELP3	1	1	479	0.2%	No
